scenario,variant,pinn_placement,use_l_ego,use_safety_filter,use_intent,lambda_phys,seed,eval_mode,mean_return,std_return,collision_rate,pothole_hits_mean,mean_ttc,min_ttc
1c,safety_filter,none,False,True,True,0.0,456,stochastic,31.83565999999998,105.14473264440974,0.0,0.0,16.13960938018568,6.806856012685753
1c,safety_filter,none,False,True,True,0.0,789,deterministic,157.47298000000043,124.97401341406818,0.0,0.0,11.564193371425713,4.590690653969232
1c,safety_filter,none,False,True,True,0.0,789,stochastic,109.45636000000012,133.0771511516174,0.0,0.0,13.582016495635692,6.078430137966714
1c,safety_filter,none,False,True,True,0.0,999,deterministic,157.49426000000045,128.10963803833226,0.0,0.0,11.481780869896793,4.491678944150194
1c,safety_filter,none,False,True,True,0.0,999,stochastic,42.33793999999993,108.46039108861999,0.0,0.0,14.70849818933913,7.198666174728571
1c,pinn_critic_sf,critic,False,True,True,0.001,42,deterministic,93.50367999999982,101.42796286201158,0.0,0.0,10.812590478564916,1.0052190092870505
1c,pinn_critic_sf,critic,False,True,True,0.001,42,stochastic,88.30991999999986,115.225349949712,0.0,0.0,11.000569179189387,3.4366289856883356
1c,pinn_critic_sf,critic,False,True,True,0.001,123,deterministic,41.882779999999876,93.6934148322691,0.0,0.0,11.193522570540216,1.7606087059124196
1c,pinn_critic_sf,critic,False,True,True,0.001,123,stochastic,57.58592000000001,137.01580012025477,0.0,0.0,16.0769350063054,5.6550938220632085
1c,pinn_critic_sf,critic,False,True,True,0.001,456,deterministic,168.30224000000027,102.89603685265251,0.0,0.0,11.42120616120676,3.7225670127340673
1c,pinn_critic_sf,critic,False,True,True,0.001,456,stochastic,19.90379999999997,101.87732243968719,0.0,0.0,15.503857910972307,6.967930979863708
1c,pinn_critic_sf,critic,False,True,True,0.001,789,deterministic,200.2775000000012,131.1065709801382,0.0,0.0,10.101664556341388,2.778777508785754
1c,pinn_critic_sf,critic,False,True,True,0.001,789,stochastic,84.84601999999988,124.2085341047852,0.0,0.0,15.03622808411256,7.099822914457587
1c,pinn_critic_sf,critic,False,True,True,0.001,999,deterministic,177.53904000000057,122.24948808939223,0.0,0.0,11.545185695328819,4.481021000742868
1c,pinn_critic_sf,critic,False,True,True,0.001,999,stochastic,89.05470000000003,127.29967506765293,0.0,0.0,14.470031932772578,6.466425837724278
1c,pinn_critic_sf,critic,False,True,True,0.01,42,deterministic,173.8200800000005,159.7669232753571,0.0,0.0,11.359238581634235,3.8189308597936593
1c,pinn_critic_sf,critic,False,True,True,0.01,42,stochastic,78.68316000000003,126.27746474749334,0.0,0.0,12.149395713369262,5.0011807216565325
1c,pinn_critic_sf,critic,False,True,True,0.01,123,deterministic,11.729339999999773,119.42799931299268,0.0,0.0,10.448914930205374,0.7950483274146994
1c,pinn_critic_sf,critic,False,True,True,0.01,123,stochastic,62.45027999999989,132.09544413325386,0.0,0.0,15.656048224740154,3.8323110585145725
1c,pinn_critic_sf,critic,False,True,True,0.01,456,deterministic,133.28718000000106,112.16365911964384,0.0,0.0,11.485117306860598,4.256559510021946
1c,pinn_critic_sf,critic,False,True,True,0.01,456,stochastic,-10.065580000000013,83.78214118273411,0.0,0.0,17.386870236710713,7.097964517744033
1c,pinn_critic_sf,critic,False,True,True,0.01,789,deterministic,149.77658000000042,137.52761499714774,0.0,0.0,11.564954099752878,4.590570651757026
1c,pinn_critic_sf,critic,False,True,True,0.01,789,stochastic,68.14878000000004,127.31013552978264,0.0,0.0,15.143132556334525,7.092823029040108
1c,pinn_critic_sf,critic,False,True,True,0.01,999,deterministic,163.58374000000032,136.8607835751078,0.0,0.0,11.465782850047772,4.36622368629315
1c,pinn_critic_sf,critic,False,True,True,0.01,999,stochastic,2.2923599999999373,83.2445768056418,0.0,0.0,16.75678073864042,7.294052471464335
1c,pinn_critic_sf,critic,False,True,True,0.05,42,deterministic,85.91270000000013,122.78006994365981,0.0,0.0,9.470564645075592,1.245513003172575
1c,pinn_critic_sf,critic,False,True,True,0.05,42,stochastic,104.98501999999993,121.48370824575451,0.0,0.0,11.71753812053395,4.451159304436442
1c,pinn_critic_sf,critic,False,True,True,0.05,123,deterministic,125.17788000000066,129.90536781236412,0.0,0.0,10.723132227999878,2.3097465673174153
1c,pinn_critic_sf,critic,False,True,True,0.05,123,stochastic,-4.421320000000026,92.52096186279954,0.0,0.0,16.865043604692183,6.6928616051990675
1c,pinn_critic_sf,critic,False,True,True,0.05,456,deterministic,17.70675999999999,53.3056770712314,0.0,0.0,17.1116929862225,7.102766354657529
1c,pinn_critic_sf,critic,False,True,True,0.05,456,stochastic,-6.813059999999962,87.83018468417556,0.0,0.0,16.780660733504916,7.093612611981415
1c,pinn_critic_sf,critic,False,True,True,0.05,789,deterministic,184.90154000000067,81.98712518809513,0.0,0.0,11.692327768965448,4.547553735532669
1c,pinn_critic_sf,critic,False,True,True,0.05,789,stochastic,55.199079999999995,105.3275342301034,0.0,0.0,15.09939335742235,7.29070128092643
1c,pinn_critic_sf,critic,False,True,True,0.05,999,deterministic,116.25968000000084,120.20715668385859,0.0,0.0,11.517600451129375,4.5072512014373
1c,pinn_critic_sf,critic,False,True,True,0.05,999,stochastic,6.049499999999955,86.40839439134366,0.0,0.0,17.4904905161362,7.295361636644725
1c,pinn_critic_sf,critic,False,True,True,0.1,42,deterministic,82.53634000000028,147.75336676172356,0.0,0.0,9.56305152779335,1.4800999599708762
1c,pinn_critic_sf,critic,False,True,True,0.1,42,stochastic,93.16446000000002,132.4680156453188,0.0,0.0,12.021617228730465,4.017316196895143
1c,pinn_critic_sf,critic,False,True,True,0.1,123,deterministic,129.42409999999975,113.5673448047895,0.0,0.0,13.703776983780593,1.9916223605084602
1c,pinn_critic_sf,critic,False,True,True,0.1,123,stochastic,53.029260000000065,134.3086103226164,0.0,0.0,16.642563903039285,5.40399353005641
1c,pinn_critic_sf,critic,False,True,True,0.1,456,deterministic,-36.08000000000018,47.48256100928041,0.0,0.0,17.1116929862225,7.102766354657529
1c,pinn_critic_sf,critic,False,True,True,0.1,456,stochastic,-26.802499999999945,66.31603045184464,0.0,0.0,17.160699527605836,7.101534329689496
1c,pinn_critic_sf,critic,False,True,True,0.1,789,deterministic,-34.28000000000016,46.95574086307267,0.0,0.0,17.353074188943477,7.304291476466341
1c,pinn_critic_sf,critic,False,True,True,0.1,789,stochastic,27.004099999999912,107.28170141235636,0.0,0.0,15.538736651091629,7.181996483729564
1c,pinn_critic_sf,critic,False,True,True,0.1,999,deterministic,212.17342000000042,143.80996178152503,0.0,0.0,11.450753856577787,3.7593076315407057
1c,pinn_critic_sf,critic,False,True,True,0.1,999,stochastic,15.50857999999994,94.272595949001,0.0,0.0,14.490039915912282,7.183559258614771
1c,pinn_critic_sf,critic,False,True,True,0.2,42,deterministic,107.21733999999937,131.15045381920862,0.0,0.0,10.323478931762654,1.462828190590982
1c,pinn_critic_sf,critic,False,True,True,0.2,42,stochastic,106.33605999999976,142.08488579527508,0.0,0.0,11.302508315606833,3.001827385832899
1c,pinn_critic_sf,critic,False,True,True,0.2,123,deterministic,-40.10000000000023,48.911041698169115,0.0,0.0,18.00424523454406,6.723773374316306
1c,pinn_critic_sf,critic,False,True,True,0.2,123,stochastic,-27.15765999999982,78.40792470116993,0.0,0.0,17.269245549001038,6.71705064711737
1c,pinn_critic_sf,critic,False,True,True,0.2,456,deterministic,-36.08000000000018,47.48256100928041,0.0,0.0,17.1116929862225,7.102766354657529
1c,pinn_critic_sf,critic,False,True,True,0.2,456,stochastic,-27.067499999999953,66.60958719591335,0.0,0.0,17.483330626726946,7.099732981450072
1c,pinn_critic_sf,critic,False,True,True,0.2,789,deterministic,-17.280499999999623,75.7170290059636,0.0,0.0,16.306726977213426,7.29805683905362
1c,pinn_critic_sf,critic,False,True,True,0.2,789,stochastic,-18.53561999999989,72.70217515339934,0.0,0.0,16.852146409849567,7.296424777455322
1c,pinn_critic_sf,critic,False,True,True,0.2,999,deterministic,65.1704400000003,114.18161018625797,0.0,0.0,14.768219335146357,6.258055140789745
1c,pinn_critic_sf,critic,False,True,True,0.2,999,stochastic,-8.31405999999984,85.87908858678193,0.0,0.0,17.139452976830185,7.260396731735853
1c,pinn_critic_sf,critic,False,True,True,0.5,42,deterministic,108.67332000000007,123.48939908809025,0.0,0.0,9.346312596805282,1.3090901035644196
1c,pinn_critic_sf,critic,False,True,True,0.5,42,stochastic,86.59239999999993,132.95407795806787,0.0,0.0,11.784361217425928,4.844196319145894
