scenario,maneuver,method,metric,n_intent,n_nointent,intent_mean,intent_ci_low,intent_ci_high,nointent_mean,nointent_ci_low,nointent_ci_high,delta,cohens_d,raw_p_welch,corrected_p_welch,significant_welch,marker_welch
1b,stem_right,fusion_aux,success_rate,10,10,0.097,0.04315,0.150671,0.095333,0.043833,0.147179,0.001667,0.0181,0.9681794300350974,1.0,False,ns
1b,stem_right,fusion_aux,collision_rate,10,10,0.517667,0.459654,0.575671,0.5375,0.484667,0.584512,-0.019833,-0.2125,0.6405764794963752,1.0,False,ns
1b,stem_right,fusion_aux,mean_return,10,10,118.136654,98.613054,137.096621,115.507304,97.576484,133.887709,2.62935,0.0798,0.8603840260746064,1.0,False,ns
1b,stem_right,hjb_aux,success_rate,10,10,0.255,0.218163,0.297833,0.282167,0.2325,0.324692,-0.027167,-0.3602,0.4314457809752724,1.0,False,ns
1b,stem_right,hjb_aux,collision_rate,10,10,0.484333,0.415483,0.556525,0.508167,0.446475,0.572546,-0.023833,-0.1979,0.6633410041936423,1.0,False,ns
1b,stem_right,hjb_aux,mean_return,10,10,169.549716,154.638634,183.977386,167.100189,152.438502,183.646582,2.449527,0.0946,0.8349021824435698,1.0,False,ns
1b,stem_right,rule_based,success_rate,10,10,0.254,0.241333,0.264333,0.254,0.241333,0.264333,0.0,0.0,nan,nan,False,desc
1b,stem_right,rule_based,collision_rate,10,10,0.74,0.730667,0.751333,0.74,0.730667,0.751333,0.0,0.0,nan,nan,False,desc
1b,stem_right,rule_based,mean_return,10,10,142.738622,138.539612,146.147568,142.738622,138.539612,146.147568,0.0,0.0,nan,nan,False,desc
1b,stem_right,soft_hjb_aux,success_rate,10,10,0.156667,0.091142,0.219004,0.145333,0.088487,0.203838,0.011333,0.1058,0.8156336582560335,1.0,False,ns
1b,stem_right,soft_hjb_aux,collision_rate,10,10,0.553667,0.495133,0.616342,0.544,0.485829,0.592188,0.009667,0.0974,0.8300346884383516,1.0,False,ns
1b,stem_right,soft_hjb_aux,mean_return,10,10,130.579473,108.372613,151.889603,130.439681,114.305098,146.916936,0.139792,0.0042,0.9926292658392899,1.0,False,ns
2,stem_left,cbf_aux,success_rate,8,10,0.872708,0.74,0.942917,0.722667,0.503812,0.940354,0.150042,0.4921,0.28449916811372405,1.0,False,ns
2,stem_left,cbf_aux,collision_rate,8,10,0.065833,0.042286,0.101464,0.0915,0.053162,0.131667,-0.025667,-0.4401,0.3486288538539003,1.0,False,ns
2,stem_left,cbf_aux,mean_return,8,10,337.380486,294.752583,365.028777,299.891925,235.506019,365.472062,37.48856,0.4049,0.37675709201232177,1.0,False,ns
2,stem_left,drppo,success_rate,10,10,0.7755,0.537967,0.950842,0.761167,0.513817,0.934679,0.014333,0.0404,0.9290614613645021,1.0,False,ns
2,stem_left,drppo,collision_rate,10,10,0.067833,0.041325,0.097679,0.076167,0.057496,0.101333,-0.008333,-0.1912,0.6742796069783383,1.0,False,ns
2,stem_left,drppo,mean_return,10,10,311.109072,247.640437,356.839411,309.970061,239.236131,361.334644,1.139011,0.0116,0.9795443001277044,1.0,False,ns
2,stem_left,eikonal_aux,success_rate,10,10,0.246,0.152975,0.353187,0.227333,0.113808,0.366667,0.018667,0.0933,0.8371531800941152,1.0,False,ns
2,stem_left,eikonal_aux,collision_rate,10,10,0.1025,0.065829,0.1435,0.154333,0.113329,0.202333,-0.051833,-0.7409,0.11531904448142276,1.0,False,ns
2,stem_left,eikonal_aux,mean_return,10,10,153.036366,124.14334,186.79369,143.609963,112.484436,181.9877,9.426403,0.1642,0.7177420835741938,1.0,False,ns
2,stem_left,fusion_aux,success_rate,9,9,0.319815,0.186653,0.476505,0.346296,0.289986,0.403898,-0.026481,-0.1477,0.7602337237102021,1.0,False,ns
2,stem_left,fusion_aux,collision_rate,9,9,0.150926,0.109991,0.192602,0.110185,0.090366,0.13037,0.040741,0.7722,0.12821061283832938,1.0,False,ns
2,stem_left,fusion_aux,mean_return,9,9,146.100991,106.761927,189.600615,151.276735,129.532527,172.687933,-5.175745,-0.0956,0.8428084783208286,1.0,False,ns
2,stem_left,hjb_aux,success_rate,10,10,0.833333,0.666796,0.944,0.8455,0.695662,0.933204,-0.012167,-0.0511,0.9102100089131588,1.0,False,ns
2,stem_left,hjb_aux,collision_rate,10,10,0.073167,0.045492,0.115346,0.073333,0.054488,0.093008,-0.000167,-0.0033,0.9941384911835153,1.0,False,ns
2,stem_left,hjb_aux,mean_return,10,10,299.736769,255.557563,332.307094,318.551077,278.144611,344.922375,-18.814308,-0.289,0.5262692008049948,1.0,False,ns
2,stem_left,rule_based,success_rate,4,10,0.718333,0.705833,0.728333,0.717,0.700658,0.735,0.001333,0.048,nan,nan,False,desc
2,stem_left,rule_based,collision_rate,4,10,0.2025,0.183208,0.221667,0.206333,0.192333,0.221333,-0.003833,-0.1487,nan,nan,False,desc
2,stem_left,rule_based,mean_return,4,10,292.125821,286.941829,295.35006,291.317415,285.071877,297.603079,0.808406,0.0809,nan,nan,False,desc
2,stem_left,soft_hjb_aux,success_rate,10,9,0.239667,0.129154,0.391537,0.242222,0.154977,0.330556,-0.002556,-0.0128,0.9775878389380709,1.0,False,ns
2,stem_left,soft_hjb_aux,collision_rate,10,9,0.174833,0.155829,0.193671,0.176852,0.139259,0.208713,-0.002019,-0.045,0.9254277090811734,1.0,False,ns
2,stem_left,soft_hjb_aux,mean_return,10,9,123.939489,99.786224,155.511207,119.77165,98.517992,140.181297,4.167839,0.0972,0.8322075246949312,1.0,False,ns
2,stem_right,cbf_aux,success_rate,10,10,0.301333,0.258163,0.342671,0.38,0.332996,0.416842,-0.078667,-1.0759,0.027133492587854545,1.0,False,ns
2,stem_right,cbf_aux,collision_rate,10,10,0.2905,0.229487,0.362513,0.222,0.178667,0.264846,0.0685,0.6821,0.14727546518787507,1.0,False,ns
2,stem_right,cbf_aux,mean_return,10,10,147.452276,132.62139,161.324578,177.923462,166.212455,187.789526,-30.471186,-1.3919,0.006240621391267499,0.39939976904111996,False,ns
